"","Jahr","TagezumStichtag"
"54653",2015,40
"54664",2015,12
"54667",2015,33
"54677",2014,314
"54709",2014,35
"54754",2016,11
"54774",2016,130
"54904",2014,5
"54930",2016,44
"54932",2016,24
"54973",2014,90
"55031",2015,196
"55078",2016,89
"55106",2016,22
"55192",2015,236
"55241",2016,41
"55306",2014,58
"55366",2015,4
"55386",2015,204
"55387",2015,70
"55426",2016,36
"55433",2016,8
"55500",2014,25
"55540",2013,40
"55571",2016,18
"55574",2016,50
"55575",2016,169
"55591",2016,27
"55605",2013,92
"55623",2013,7
"55678",2016,112
"55750",2014,30
"55821",2015,115
"55823",2015,7
"55860",2016,20
"55899",2015,46
"55905",2015,26
"56010",2015,15
"56038",2015,18
"56066",2016,145
"56071",2016,22
"56088",2016,14
"56178",2013,81
"56329",2016,54
"56334",2016,55
"56347",2016,149
"56356",2016,123
"56559",2015,111
"56572",2016,41
"56605",2016,40
"56609",2016,35
"56659",2014,47
"56665",2013,55
"56674",2013,59
"56920",2015,14
"57002",2016,33
"57030",2016,15
"57037",2016,49
"57078",2015,125
"57193",2015,226
"57206",2015,418
"57247",2016,130
"57248",2016,105
"57301",2015,7
"57328",2015,46
"57374",2014,3
"57499",2015,17
"57563",2014,22
"57581",2015,106
"57585",2015,14
"57651",2016,40
"57793",2014,12
"57877",2016,4
"57878",2016,48
"57899",2016,69
"57945",2015,171
"58002",2014,10
"58041",2014,17
"58066",2015,4
"58087",2015,9
"58106",2016,25
"58111",2016,16
"58117",2016,10
"58126",2016,119
"58138",2016,2
"58164",2015,59
"58182",2015,5
"58183",2015,8
"58199",2014,49
"58267",2015,16
"58287",2015,16
"58384",2016,22
"58391",2016,110
"58541",2015,13
"58549",2015,110
"58659",2014,80
"58721",2015,41
"58740",2015,6
"58756",2016,68
"58770",2016,14
"58776",2016,13
"58787",2016,46
"58954",2015,9
"58981",2015,123
"58996",2016,162
"59001",2016,336
"59018",2016,60
"59028",2016,73
"59079",2014,16
"59092",2014,257
"59128",2013,126
"59156",2015,6
"59199",2015,76
"59210",2015,95
"59269",2016,16
"59275",2016,63
"59287",2015,127
"59296",2015,59
"59398",2015,5
"59415",2015,6
"59439",2015,4
"59503",2015,31
"59505",2015,22
"59546",2016,66
"59549",2016,57
"59551",2016,77
"59617",2013,7
"59629",2015,5
"59660",2015,35
"59760",2015,1
"59843",2013,3
"59884",2015,27
"59885",2015,10
"59898",2015,22
"59919",2015,44
"59931",2015,4
"59943",2015,89
"60037",2013,15
"60041",2013,91
"60089",2015,4
"60126",2015,14
"60192",2015,55
"60214",2016,83
"60225",2016,25
"60247",2016,40
"60258",2013,232
"60340",2015,2
"60426",2015,11
"60473",2014,9
"60488",2014,31
"60524",2015,109
"60562",2016,21
"60564",2016,50
"60577",2016,55
"60585",2016,78
"60590",2016,29
"60657",2014,14
"60683",2014,64
"60709",2015,5
"60754",2015,27
"60786",2016,21
"60797",2016,82
"60805",2016,47
"60824",2016,78
"60835",2015,36
"60902",2014,72
"60904",2014,72
"60931",2015,9
"60966",2015,71
"60979",2016,79
"61016",2016,42
"61020",2015,9
"61067",2015,11
"61110",2015,15
"61149",2014,112
"61196",2015,41
"61212",2016,77
"61220",2016,98
"61236",2016,54
"61238",2016,136
"61249",2016,18
"61344",2015,12
"61438",2016,52
"61450",2016,3
"61467",2017,167
"61499",2016,11
"61517",2015,147
"61520",2015,33
"61577",2016,30
"61585",2017,4
"61644",2015,24
"61652",2015,12
"61689",2016,24
"61725",2015,6
"61728",2015,21
"61792",2016,39
"61816",2016,38
"61831",2016,31
"61834",2016,15
"61835",2016,31
"61895",2015,180
"61944",2014,22
"61971",2016,101
"62037",2016,51
"62056",2015,62
"62074",2015,42
"62108",2014,301
"62130",2014,41
"62213",2016,75
"62234",2016,33
"62302",2015,56
"62305",2015,26
"62468",2016,21
"62470",2016,260
"62472",2016,31
"62551",2014,50
"62606",2016,130
"62614",2016,90
"62624",2016,98
"62633",2016,18
"62884",2016,22
"62886",2016,57
"62951",2014,17
"62996",2016,12
"63020",2016,9
"63021",2016,64
"63031",2016,55
"63069",2015,33
"63156",2014,21
"63226",2016,134
"63236",2016,54
"63239",2016,55
"63256",2015,57
"63282",2015,17
"63370",2016,28
"63383",2016,39
"63384",2016,55
"63386",2016,7
"63400",2014,3
"63475",2016,22
"63494",2015,47
"63518",2015,7
"63552",2015,43
"63640",2014,25
"63702",2016,6
"63721",2016,2
"63736",2016,83
"63795",2017,174
"63844",2015,30
"63869",2015,143
"63881",2015,66
"63883",2015,179
"63897",2016,35
"63936",2016,42
"64024",2016,30
"64041",2015,16
"64417",2014,17
"64580",2016,41
"64626",2014,115
"64634",2014,120
"64669",2016,488
"64715",2014,27
"64758",2016,34
"64771",2016,104
"64795",2016,16
"64816",2016,6
"64828",2016,9
"64843",2016,19
"64871",2015,14
"64916",2017,67
"64966",2014,128
"65036",2016,96
"65063",2016,18
"65064",2016,12
"65067",2016,7
"65074",2016,91
"65075",2016,72
"65076",2016,62
"65119",2015,63
"65125",2015,76
"65130",2015,40
"65146",2014,26
"65163",2014,56
"65202",2016,2
"65229",2016,24
"65257",2016,68
"65259",2016,47
"65261",2016,42
"65343",2014,30
"65378",2016,86
"65396",2016,3
"65426",2016,27
"65494",2017,12
"65497",2017,51
"65603",2015,44
"65631",2016,40
"65648",2016,10
"65663",2016,1
"65695",2016,116
"65718",2017,8
"65728",2017,24
"65731",2017,74
"65826",2015,140
"65862",2016,51
"65910",2016,15
"65985",2017,2
"66085",2016,16
"66122",2016,7
"66237",2016,1
"66250",2016,69
"66269",2016,80
"66279",2016,57
"66343",2017,26
"66353",2017,40
"66380",2017,29
"66399",2016,18
"66423",2016,20
"66424",2016,29
"66428",2016,23
"66587",2017,46
"66607",2017,39
"66614",2017,3
"66628",2016,78
"66640",2016,203
"66690",2016,76
"66727",2015,59
"66730",2015,7
"66744",2015,66
"66788",2017,15
"66799",2017,29
"66802",2017,45
"66808",2017,41
"66825",2016,58
"66853",2016,43
"66898",2016,28
"66916",2016,150
"66934",2015,35
"66936",2015,13
